Date,Parameter,Value
2020-02-04T18:00:00.0000000Z,wind_speed,4.338336315972338
2020-02-04T21:00:00.0000000Z,wind_speed,4.4898384658182255
2020-02-05T00:00:00.0000000Z,wind_speed,4.495125253733536
2020-02-05T03:00:00.0000000Z,wind_speed,4.741791843603668
2020-02-05T06:00:00.0000000Z,wind_speed,5.609561370540524
2020-02-05T09:00:00.0000000Z,wind_speed,6.196007158826777
2020-02-05T12:00:00.0000000Z,wind_speed,5.835987050931333
2020-02-05T15:00:00.0000000Z,wind_speed,4.863438858468388
2020-02-05T18:00:00.0000000Z,wind_speed,4.762797863783751
2020-02-05T21:00:00.0000000Z,wind_speed,4.5579347086127715
2020-02-06T00:00:00.0000000Z,wind_speed,5.243987650531228
2020-02-06T03:00:00.0000000Z,wind_speed,4.987639567877125
2020-02-06T06:00:00.0000000Z,wind_speed,4.177150000579714
2020-02-06T09:00:00.0000000Z,wind_speed,4.78994961426579
2020-02-06T12:00:00.0000000Z,wind_speed,2.95320559937482
2020-02-06T15:00:00.0000000Z,wind_speed,3.953193992052741
2020-02-06T18:00:00.0000000Z,wind_speed,5.700007835749116
2020-02-06T21:00:00.0000000Z,wind_speed,5.470068442910165
2020-02-07T00:00:00.0000000Z,wind_speed,4.972371783812737
2020-02-07T03:00:00.0000000Z,wind_speed,4.515594043712199
2020-02-07T06:00:00.0000000Z,wind_speed,3.5241480372514182
2020-02-07T09:00:00.0000000Z,wind_speed,2.2208326492671997
2020-02-07T12:00:00.0000000Z,wind_speed,0.7077670878700046
2020-02-07T15:00:00.0000000Z,wind_speed,1.4311132872291166
2020-02-07T18:00:00.0000000Z,wind_speed,2.517241992215679
2020-02-07T21:00:00.0000000Z,wind_speed,3.5934835572776107
2020-02-08T00:00:00.0000000Z,wind_speed,5.169797426538553
2020-02-08T03:00:00.0000000Z,wind_speed,6.114168599431736
2020-02-08T06:00:00.0000000Z,wind_speed,6.289460734020239
2020-02-08T09:00:00.0000000Z,wind_speed,5.837461097455836
2020-02-08T12:00:00.0000000Z,wind_speed,5.968583108883569
2020-02-08T15:00:00.0000000Z,wind_speed,4.978122220864566
2020-02-08T18:00:00.0000000Z,wind_speed,4.256488215183926
2020-02-08T21:00:00.0000000Z,wind_speed,3.8672819356862327
2020-02-09T00:00:00.0000000Z,wind_speed,3.476041077265468
2020-02-09T03:00:00.0000000Z,wind_speed,2.8996576494679207
2020-02-09T06:00:00.0000000Z,wind_speed,3.5292951231284118
2020-02-09T09:00:00.0000000Z,wind_speed,3.7384713541077916
2020-02-09T12:00:00.0000000Z,wind_speed,4.046363210571847
2020-02-09T15:00:00.0000000Z,wind_speed,4.18211931301479
2020-02-09T18:00:00.0000000Z,wind_speed,4.962132542821319
2020-02-09T21:00:00.0000000Z,wind_speed,5.73869586233903
2020-02-10T00:00:00.0000000Z,wind_speed,5.714769308758095
2020-02-10T03:00:00.0000000Z,wind_speed,5.616685981720704
2020-02-10T06:00:00.0000000Z,wind_speed,5.3776140245680875
2020-02-10T09:00:00.0000000Z,wind_speed,5.0511485575008415
2020-02-10T12:00:00.0000000Z,wind_speed,4.931915947348007
2020-02-10T15:00:00.0000000Z,wind_speed,5.51949232931018
2020-02-10T18:00:00.0000000Z,wind_speed,5.798036031206245
2020-02-10T21:00:00.0000000Z,wind_speed,5.3047618726226755
2020-02-11T00:00:00.0000000Z,wind_speed,5.144178177671995
2020-02-11T03:00:00.0000000Z,wind_speed,5.242988130710768
2020-02-11T06:00:00.0000000Z,wind_speed,6.314281834968185
2020-02-11T09:00:00.0000000Z,wind_speed,5.926263103875437
2020-02-11T12:00:00.0000000Z,wind_speed,5.969191395709114
2020-02-11T15:00:00.0000000Z,wind_speed,6.466954954636736
2020-02-11T18:00:00.0000000Z,wind_speed,6.871384603790434
2020-02-11T21:00:00.0000000Z,wind_speed,6.606039745680505
2020-02-12T00:00:00.0000000Z,wind_speed,6.220577831970363
2020-02-12T03:00:00.0000000Z,wind_speed,5.83261675527193
2020-02-12T06:00:00.0000000Z,wind_speed,5.592248657394894
2020-02-12T09:00:00.0000000Z,wind_speed,4.828117351987606
2020-02-12T12:00:00.0000000Z,wind_speed,5.076923824757185
2020-02-12T15:00:00.0000000Z,wind_speed,4.212795574566556
2020-02-12T18:00:00.0000000Z,wind_speed,4.6499737642004515
2020-02-12T21:00:00.0000000Z,wind_speed,3.518665717659654
2020-02-13T00:00:00.0000000Z,wind_speed,3.446394026566517
2020-02-13T03:00:00.0000000Z,wind_speed,3.1393986434330885
2020-02-13T06:00:00.0000000Z,wind_speed,3.4612293859098857
2020-02-13T09:00:00.0000000Z,wind_speed,3.679044320197906
2020-02-13T12:00:00.0000000Z,wind_speed,2.8359051507917563
2020-02-13T15:00:00.0000000Z,wind_speed,2.7381745635640278
2020-02-13T18:00:00.0000000Z,wind_speed,2.2280343563364995
2020-02-13T21:00:00.0000000Z,wind_speed,2.7102568495076533
2020-02-14T00:00:00.0000000Z,wind_speed,2.662874855306229
2020-02-14T03:00:00.0000000Z,wind_speed,2.603296005986174
2020-02-14T06:00:00.0000000Z,wind_speed,2.175181992525651
2020-02-14T09:00:00.0000000Z,wind_speed,2.189697660275988
2020-02-14T12:00:00.0000000Z,wind_speed,2.3859404858377515
2020-02-14T15:00:00.0000000Z,wind_speed,1.9282259531540955
2020-02-14T18:00:00.0000000Z,wind_speed,1.6148515328642958
2020-02-14T21:00:00.0000000Z,wind_speed,1.7642023623397138
2020-02-15T00:00:00.0000000Z,wind_speed,1.7034062784673571
2020-02-15T03:00:00.0000000Z,wind_speed,1.6727822914583235
2020-02-15T06:00:00.0000000Z,wind_speed,1.9017983350959233
2020-02-15T09:00:00.0000000Z,wind_speed,1.5993417623709933
2020-02-15T12:00:00.0000000Z,wind_speed,1.2901276886678013
2020-02-15T15:00:00.0000000Z,wind_speed,1.3917671296353689
2020-02-15T18:00:00.0000000Z,wind_speed,1.1657156725444482
2020-02-15T21:00:00.0000000Z,wind_speed,0.9851819323450254
2020-02-16T00:00:00.0000000Z,wind_speed,0.9729209142423955
2020-02-16T03:00:00.0000000Z,wind_speed,1.0673871766130043
2020-02-16T06:00:00.0000000Z,wind_speed,1.4890711772031362
2020-02-16T09:00:00.0000000Z,wind_speed,1.9791009912805042
2020-02-16T12:00:00.0000000Z,wind_speed,1.9510990544410505
2020-02-16T15:00:00.0000000Z,wind_speed,2.5191820908502196
2020-02-16T18:00:00.0000000Z,wind_speed,3.5619256459903355
2020-02-16T21:00:00.0000000Z,wind_speed,5.091727915144658
2020-02-17T00:00:00.0000000Z,wind_speed,5.696510859947396
2020-02-17T03:00:00.0000000Z,wind_speed,6.520994753788174
2020-02-17T06:00:00.0000000Z,wind_speed,6.8682306774522255
2020-02-17T09:00:00.0000000Z,wind_speed,7.404062487527888
2020-02-17T12:00:00.0000000Z,wind_speed,8.54908332957007
2020-02-17T15:00:00.0000000Z,wind_speed,9.780544182424137
2020-02-17T18:00:00.0000000Z,wind_speed,10.113967039230124
2020-02-17T21:00:00.0000000Z,wind_speed,9.622595038580817
2020-02-18T00:00:00.0000000Z,wind_speed,8.139191378409306
2020-02-18T03:00:00.0000000Z,wind_speed,6.847408996955865
2020-02-18T06:00:00.0000000Z,wind_speed,6.827196647158925
2020-02-18T09:00:00.0000000Z,wind_speed,7.499928880212732
2020-02-18T12:00:00.0000000Z,wind_speed,7.106151379770077
2020-02-18T15:00:00.0000000Z,wind_speed,6.6317935272494815
2020-02-18T18:00:00.0000000Z,wind_speed,6.2245498270181185
2020-02-18T21:00:00.0000000Z,wind_speed,5.621890930160659
2020-02-19T00:00:00.0000000Z,wind_speed,5.416944768567789
2020-02-19T03:00:00.0000000Z,wind_speed,5.121054413417062
2020-02-19T06:00:00.0000000Z,wind_speed,5.112666301194054
2020-02-19T09:00:00.0000000Z,wind_speed,4.579706116238284
2020-02-19T12:00:00.0000000Z,wind_speed,3.633175672056674
2020-02-19T15:00:00.0000000Z,wind_speed,3.275414351877378
2020-02-19T18:00:00.0000000Z,wind_speed,3.384872398542323
2020-02-19T21:00:00.0000000Z,wind_speed,3.33304802670082
2020-02-20T00:00:00.0000000Z,wind_speed,2.543647437846394
2020-02-20T03:00:00.0000000Z,wind_speed,2.747012576010469
2020-02-20T06:00:00.0000000Z,wind_speed,2.9020137280584786
2020-02-20T09:00:00.0000000Z,wind_speed,3.466305902497133
2020-02-20T12:00:00.0000000Z,wind_speed,2.8953880844110165
2020-02-20T15:00:00.0000000Z,wind_speed,2.6949366407872732
2020-02-20T18:00:00.0000000Z,wind_speed,2.413981302181477
2020-02-20T21:00:00.0000000Z,wind_speed,2.357983935154631
2020-02-21T00:00:00.0000000Z,wind_speed,2.536347324761922
2020-02-21T03:00:00.0000000Z,wind_speed,2.3100475047924687
2020-02-21T06:00:00.0000000Z,wind_speed,2.2873154624687904
2020-02-21T09:00:00.0000000Z,wind_speed,1.6489128402357847
2020-02-21T12:00:00.0000000Z,wind_speed,1.5609011505754802
2020-02-21T15:00:00.0000000Z,wind_speed,2.217742019327817
2020-02-21T18:00:00.0000000Z,wind_speed,2.3261624178260156
2020-02-21T21:00:00.0000000Z,wind_speed,2.297344166037238
2020-02-22T00:00:00.0000000Z,wind_speed,2.284065603959111
2020-02-22T03:00:00.0000000Z,wind_speed,1.9064553695091107
